Code_commune_INSEE;Nom_commune;Code_postal
01009;ANDERT ET CONDON;01300
01012;ARANC;01110
01023;ASNIERES SUR SAONE;01570
01029;BEAUPONT;01270
01032;BELIGNEUX;01360
01033;VALSERHONE;01200
01036;VALROMEY SUR SERAN;01260
01036;VALROMEY SUR SERAN;01260
01036;VALROMEY SUR SERAN;01260
01036;VALROMEY SUR SERAN;01260
01045;BIRIEUX;01330
01049;LA BOISSE;01120
01050;BOISSEY;01190
01054;BOURG ST CHRISTOPHE;01800
01066;LA BURBANCHE;01510
01078;CHALLEX;01630
01079;CHAMPAGNE EN VALROMEY;01260
01079;CHAMPAGNE EN VALROMEY;01260
01085;LA CHAPELLE DU CHATELARD;01240
01101;CHEVILLARD;01430
01105;CIVRIEUX;01390
01115;CONFRANCON;01310
01125;CORVEISSIAT;01250
01127;COURMANGOUX;01370
01129;CRANS;01320
01130;BRESSE VALLONS;01340
01141;CUZIEU;01300
01145;DOMPIERRE SUR VEYLE;01240
01149;DOUVRES;01500
01151;DRUILLAT;01160
01155;EVOSGES;01230
01160;FERNEY VOLTAIRE;01210
01162;FLAXIEU;01350
01169;GENOUILLEUX;01090
01170;BEARD GEOVREISSIAT;01460
01174;GIRON;01130
01184;HAUTECOURT ROMANECHE;01250
01184;HAUTECOURT ROMANECHE;01250
01188;ILLIAT;01140
01194;JASSANS RIOTTIER;01480
01195;JASSERON;01250
01206;LANTENAY;01430
01209;LEAZ;01200
01225;LURCY;01090
01229;MALAFRETAZ;01340
01230;MANTENAY MONTLIN;01560
01236;MARSONNAS;01340
01237;MARTIGNAT;01100
01242;MERIGNAT;01450
01243;MESSIMY SUR SAONE;01480
01244;MEXIMIEUX;01800
01245;BOHAS MEYRIAT RIGNAT;01250
01248;MIONNAY;01390
01249;MIRIBEL;01700
01249;MIRIBEL;01700
01258;MONTCEAUX;01090
01263;MONTMERLE SUR SAONE;01090
01269;NANTUA;01130
01273;NEUVILLE SUR AIN;01160
01274;LES NEYROLLES;01130
01277;NIVOLLET MONTGRIFFON;01230
01280;ORDONNAZ;01510
01283;OYONNAX;01100
01284;OZAN;01190
01290;PEROUGES;01800
01304;PONT D AIN;01160
01307;PORT;01460
01308;POUGNY;01550
01310;PREMEYZEL;01300
01313;PREVESSIN MOENS;01280
01313;PREVESSIN MOENS;01280
01317;RAMASSE;01250
